"id","name","name_start_min","name_start_max","name_end_min","name_end_max","building_type","building_type_label","bag_id","vg_id","name_source"
"1278","Paleis voor Volksvlijt","0","0","0","0","http://vocab.getty.edu/aat/300005748",,,"http://verdwenengebouwen.nl/gebouw/1","vg"
"1279","Dennenrode","0","0","0","0","http://vocab.getty.edu/aat/300005707",,,"http://verdwenengebouwen.nl/gebouw/173","vg"
"1280","Hoogduitse Schouwburg","0","0","0","0","http://vocab.getty.edu/aat/300007117",,,"http://verdwenengebouwen.nl/gebouw/176","vg"
"1281","Heilige Stede","0","0","0","0","http://vocab.getty.edu/aat/300007466",,,"http://verdwenengebouwen.nl/gebouw/184","vg"
"1282","Nieuwezijds Kapel","0","0","0","0","http://vocab.getty.edu/aat/300007466",,,"http://verdwenengebouwen.nl/gebouw/184","vg"
"1283","Leidsepoort","0","0","0","0","http://vocab.getty.edu/aat/300005080",,,"http://verdwenengebouwen.nl/gebouw/185","vg"
"1284","Stadion De Meer","0","0","0","0","http://vocab.getty.edu/aat/300007271",,,"http://verdwenengebouwen.nl/gebouw/186","vg"
"1285","Station Amsterdam De Vlugtlaan","0","0","0","0","http://vocab.getty.edu/aat/300007783",,,"http://verdwenengebouwen.nl/gebouw/189","vg"
"1286","Sint Olofspoort","0","0","0","0","http://vocab.getty.edu/aat/300005080",,,"http://verdwenengebouwen.nl/gebouw/190","vg"
"1287","Hembrug","0","0","0","0","http://vocab.getty.edu/aat/300007836",,,"http://verdwenengebouwen.nl/gebouw/191","vg"
"1288","Weesperpoort","0","0","0","0","http://vocab.getty.edu/aat/300005080",,,"http://verdwenengebouwen.nl/gebouw/192","vg"
"1289","Station Amsterdam Weesperpoort","0","0","0","0","http://vocab.getty.edu/aat/300007783",,,"http://verdwenengebouwen.nl/gebouw/193","vg"
"1290","De Eendracht","0","0","0","0","http://vocab.getty.edu/aat/300006956",,,"http://verdwenengebouwen.nl/gebouw/195","vg"
"1291","Naatje van de Dam","0","0","0","0","http://vocab.getty.edu/aat/300006956",,,"http://verdwenengebouwen.nl/gebouw/195","vg"
"1292","Nieuwe Schouwburg","0","0","0","0","http://vocab.getty.edu/aat/300007117",,,"http://verdwenengebouwen.nl/gebouw/196","vg"
"1293","Bushuis","0","0","0","0","http://vocab.getty.edu/aat/300006887",,,"http://verdwenengebouwen.nl/gebouw/197","vg"
"1294","Jan Roodenpoortstoren","0","0","0","0","http://vocab.getty.edu/aat/300005080",,,"http://verdwenengebouwen.nl/gebouw/198","vg"
"1295","Heilige-Kruistoren","0","0","0","0","http://vocab.getty.edu/aat/300004847",,,"http://verdwenengebouwen.nl/gebouw/199","vg"
"1296","Haringpakkerstoren","0","0","0","0","http://vocab.getty.edu/aat/300004847",,,"http://verdwenengebouwen.nl/gebouw/199","vg"
"1297","Station Amsterdam Koenenkade","0","0","0","0","http://vocab.getty.edu/aat/300007783",,,"http://verdwenengebouwen.nl/gebouw/200","vg"
"1298","Station Amsterdam Westerdok","0","0","0","0","http://vocab.getty.edu/aat/300007783",,,"http://verdwenengebouwen.nl/gebouw/201","vg"
"1299","Station Amsterdam Zaanstraat","0","0","0","0","http://vocab.getty.edu/aat/300007783",,,"http://verdwenengebouwen.nl/gebouw/202","vg"
"1300","Station Amsterdam Petroleumhaven","0","0","0","0","http://vocab.getty.edu/aat/300007783",,,"http://verdwenengebouwen.nl/gebouw/203","vg"
"1301","Nicolaas en Barbara","0","0","0","0","http://vocab.getty.edu/aat/300007466",,,"http://verdwenengebouwen.nl/gebouw/205","vg"
"1302","De Liefde","0","0","0","0","http://vocab.getty.edu/aat/300007466",,,"http://verdwenengebouwen.nl/gebouw/205","vg"
"1303","Meerhuizen","0","0","0","0","http://vocab.getty.edu/aat/300006891",,,"http://verdwenengebouwen.nl/gebouw/206","vg"
"1304","Stopplaats Spaarndammerdijk-Houthaven","0","0","0","0","http://vocab.getty.edu/aat/300007783",,,"http://verdwenengebouwen.nl/gebouw/207","vg"
"1305","Stopplaats Sint Anthoniedijk","0","0","0","0","http://vocab.getty.edu/aat/300007783",,,"http://verdwenengebouwen.nl/gebouw/208","vg"
